Fold_date,Total_points,Total_Folders
13-Feb-2025 00 UTC,15108.15,2075
12-Feb-2025 12 UTC,14849.89,2070
12-Feb-2025 00 UTC,14426.43,2017
11-Feb-2025 12 UTC,15031.94,2043
11-Feb-2025 00 UTC,14927.11,2043
10-Feb-2025 12 UTC,17079.75,2320
10-Feb-2025 00 UTC,13014.67,1803
09-Feb-2025 12 UTC,14334.8,2005
09-Feb-2025 00 UTC,14134.06,1937
08-Feb-2025 12 UTC,14766.56,2042
08-Feb-2025 00 UTC,15067.7,2085
07-Feb-2025 12 UTC,14607.81,2033
07-Feb-2025 00 UTC,14887.7,2075
06-Feb-2025 12 UTC,14804.03,2066
06-Feb-2025 00 UTC,14898.34,2107
05-Feb-2025 12 UTC,15075.09,2100
05-Feb-2025 00 UTC,14765.1,2065
04-Feb-2025 12 UTC,14768.25,2066
04-Feb-2025 00 UTC,14832.98,2055
03-Feb-2025 12 UTC,14660.62,2042
03-Feb-2025 00 UTC,15115.66,2084
02-Feb-2025 12 UTC,14614.7,2062
02-Feb-2025 00 UTC,15223.78,2105
01-Feb-2025 12 UTC,15193.79,2092
01-Feb-2025 00 UTC,15477.97,2110
31-Jan-2025 12 UTC,15284.81,2068
31-Jan-2025 00 UTC,15615.84,2094
30-Jan-2025 12 UTC,15384.81,2064
30-Jan-2025 00 UTC,15578.2,2110
29-Jan-2025 12 UTC,15371.73,2100
29-Jan-2025 00 UTC,15740.29,2127
28-Jan-2025 12 UTC,15195.74,2064
28-Jan-2025 00 UTC,15565.12,2086
27-Jan-2025 12 UTC,15234.66,2071
27-Jan-2025 00 UTC,15369.81,2075
26-Jan-2025 12 UTC,15225.28,2049
26-Jan-2025 00 UTC,15036.0,1995
25-Jan-2025 12 UTC,14927.06,1890
25-Jan-2025 00 UTC,14690.26,1849
24-Jan-2025 12 UTC,14853.8,1884
24-Jan-2025 00 UTC,14681.66,1885
23-Jan-2025 12 UTC,14729.45,1839
23-Jan-2025 00 UTC,14736.99,1864
22-Jan-2025 12 UTC,15315.0,1896
22-Jan-2025 00 UTC,14846.81,1894
21-Jan-2025 12 UTC,15186.56,1874
21-Jan-2025 00 UTC,14688.1,1885
20-Jan-2025 12 UTC,14696.93,1852
20-Jan-2025 00 UTC,13849.62,1790
19-Jan-2025 12 UTC,13943.89,1771
19-Jan-2025 00 UTC,14531.33,1826
18-Jan-2025 12 UTC,14639.78,1857
18-Jan-2025 00 UTC,14823.13,1880
17-Jan-2025 12 UTC,14969.27,1917
17-Jan-2025 00 UTC,14478.17,1867
16-Jan-2025 12 UTC,14923.57,1896
16-Jan-2025 00 UTC,15330.48,1922
15-Jan-2025 12 UTC,14331.23,1876
15-Jan-2025 00 UTC,14407.36,1834
14-Jan-2025 12 UTC,14724.35,1872
13-Jan-2025 00 UTC,15015.65,1877
12-Jan-2025 12 UTC,16457.0,1896
12-Jan-2025 00 UTC,15112.33,1917
11-Jan-2025 12 UTC,14614.64,1818
11-Jan-2025 00 UTC,14742.03,1863
10-Jan-2025 12 UTC,14633.95,1841
10-Jan-2025 00 UTC,14717.13,1858
09-Jan-2025 12 UTC,14787.37,1879
09-Jan-2025 00 UTC,15099.94,1920
08-Jan-2025 12 UTC,15449.5,1930
08-Jan-2025 00 UTC,19585.65,1957
07-Jan-2025 12 UTC,0,0
07-Jan-2025 00 UTC,14973.13,1890
06-Jan-2025 12 UTC,14497.74,1892
06-Jan-2025 00 UTC,15301.67,1923
05-Jan-2025 12 UTC,14452.28,1840
05-Jan-2025 00 UTC,14749.24,1858
04-Jan-2025 12 UTC,14640.97,1858
04-Jan-2025 00 UTC,14914.29,1901
03-Jan-2025 12 UTC,14857.1,1851
03-Jan-2025 00 UTC,15059.78,1870
02-Jan-2025 12 UTC,14195.46,1790
02-Jan-2025 00 UTC,14469.57,1806
01-Jan-2025 12 UTC,14376.42,1779
01-Jan-2025 00 UTC,14770.45,1839
31-Dec-2024 12 UTC,13346.02,1701
31-Dec-2024 00 UTC,14905.57,1870
30-Dec-2024 12 UTC,50950.65,6768
30-Dec-2024 00 UTC,0,0
29-Dec-2024 12 UTC,0,0
29-Dec-2024 00 UTC,0,0
28-Dec-2024 12 UTC,0,0
28-Dec-2024 00 UTC,0,0
27-Dec-2024 12 UTC,0,0
27-Dec-2024 00 UTC,15487.96,2011
26-Dec-2024 12 UTC,11207.32,1568
26-Dec-2024 00 UTC,15475.74,2016
25-Dec-2024 12 UTC,15493.7,2005
25-Dec-2024 00 UTC,15260.18,2009
24-Dec-2024 12 UTC,15635.38,2032
24-Dec-2024 00 UTC,16047.72,2027
23-Dec-2024 12 UTC,15509.67,2027
23-Dec-2024 00 UTC,15337.08,1978
22-Dec-2024 12 UTC,15448.65,2015
22-Dec-2024 00 UTC,15304.0,2007
21-Dec-2024 12 UTC,15140.9,2001
21-Dec-2024 00 UTC,15450.08,2050
20-Dec-2024 12 UTC,15093.22,2026
20-Dec-2024 00 UTC,14892.15,1976
19-Dec-2024 12 UTC,14794.19,2036
19-Dec-2024 00 UTC,15239.95,2109
18-Dec-2024 12 UTC,14965.06,2022
18-Dec-2024 00 UTC,15514.99,2099
17-Dec-2024 12 UTC,15558.85,2115
17-Dec-2024 00 UTC,15849.12,2127
16-Dec-2024 12 UTC,15567.61,2089
16-Dec-2024 00 UTC,15465.81,2079
15-Dec-2024 12 UTC,15070.67,2057
15-Dec-2024 00 UTC,15920.29,2143
14-Dec-2024 12 UTC,15389.09,2066
14-Dec-2024 00 UTC,16033.78,2114
13-Dec-2024 12 UTC,15605.95,2087
13-Dec-2024 00 UTC,15885.66,2147
12-Dec-2024 12 UTC,14858.58,1985
12-Dec-2024 00 UTC,15777.1,2116
11-Dec-2024 12 UTC,15565.64,2063
11-Dec-2024 00 UTC,15609.07,2097
10-Dec-2024 12 UTC,15814.75,2041
10-Dec-2024 00 UTC,15661.64,2025
09-Dec-2024 12 UTC,15517.9,2020
09-Dec-2024 00 UTC,15762.53,2050
08-Dec-2024 12 UTC,15642.55,1995
08-Dec-2024 00 UTC,15572.63,1998
07-Dec-2024 12 UTC,15352.62,1954
07-Dec-2024 00 UTC,15314.89,1968
06-Dec-2024 12 UTC,15429.0,2001
06-Dec-2024 00 UTC,15417.52,2011
05-Dec-2024 12 UTC,15432.83,2018
05-Dec-2024 00 UTC,15469.37,2041
04-Dec-2024 12 UTC,14817.67,1987
04-Dec-2024 00 UTC,14439.61,1945
03-Dec-2024 12 UTC,14601.21,1951
03-Dec-2024 00 UTC,14641.91,1966
02-Dec-2024 12 UTC,14752.24,1946
02-Dec-2024 00 UTC,15033.98,1973
01-Dec-2024 12 UTC,14642.0,1932
01-Dec-2024 00 UTC,14881.75,1957
30-Nov-2024 12 UTC,14699.27,1958
30-Nov-2024 00 UTC,16107.19,1990
29-Nov-2024 12 UTC,16089.8,1976
29-Nov-2024 00 UTC,15491.98,2060
28-Nov-2024 12 UTC,14457.14,1950
28-Nov-2024 00 UTC,14897.68,2004
27-Nov-2024 12 UTC,14680.28,1987
27-Nov-2024 00 UTC,15186.78,2017
26-Nov-2024 12 UTC,18901.84,2019
26-Nov-2024 00 UTC,0,0
25-Nov-2024 12 UTC,14723.79,1951
25-Nov-2024 00 UTC,14969.85,1905
24-Nov-2024 12 UTC,14391.97,1899
24-Nov-2024 00 UTC,15122.95,2027
23-Nov-2024 12 UTC,14358.71,1879
23-Nov-2024 00 UTC,13515.68,1749
22-Nov-2024 12 UTC,14404.52,1874
22-Nov-2024 00 UTC,14515.0,1940
21-Nov-2024 12 UTC,14097.17,1909
21-Nov-2024 00 UTC,14166.97,1903
20-Nov-2024 12 UTC,14052.09,1940
20-Nov-2024 00 UTC,14112.7,1811
19-Nov-2024 12 UTC,13716.21,1825
19-Nov-2024 00 UTC,14610.16,2010
18-Nov-2024 12 UTC,14150.42,1909
18-Nov-2024 00 UTC,14655.09,2001
17-Nov-2024 12 UTC,14545.65,1919
17-Nov-2024 00 UTC,14437.65,1974
16-Nov-2024 12 UTC,15033.46,2022
16-Nov-2024 00 UTC,14429.05,1963
15-Nov-2024 12 UTC,13941.25,1903
15-Nov-2024 00 UTC,14338.12,1956
14-Nov-2024 12 UTC,15531.23,2056
14-Nov-2024 00 UTC,15134.67,2124
13-Nov-2024 12 UTC,14663.18,2022
13-Nov-2024 00 UTC,14541.54,1976
12-Nov-2024 12 UTC,13592.52,1830
12-Nov-2024 00 UTC,14040.21,1924
11-Nov-2024 12 UTC,13594.18,1825
11-Nov-2024 00 UTC,13184.11,1632
10-Nov-2024 12 UTC,14064.47,1942
10-Nov-2024 00 UTC,14004.85,1962
09-Nov-2024 12 UTC,13835.47,1889
09-Nov-2024 00 UTC,14513.23,2019
08-Nov-2024 12 UTC,13722.26,1793
08-Nov-2024 00 UTC,14075.67,1784
07-Nov-2024 12 UTC,13257.96,1701
07-Nov-2024 00 UTC,13149.54,1691
06-Nov-2024 12 UTC,13660.48,1775
06-Nov-2024 00 UTC,13723.99,1792
05-Nov-2024 00 UTC,14540.59,1896
04-Nov-2024 12 UTC,13121.53,1660
04-Nov-2024 00 UTC,13593.4,1722
03-Nov-2024 12 UTC,13637.28,1732
03-Nov-2024 00 UTC,13622.51,1780
02-Nov-2024 12 UTC,13730.9,1758
02-Nov-2024 00 UTC,13816.14,1768
01-Nov-2024 12 UTC,14126.11,1836
01-Nov-2024 00 UTC,14407.26,1905
31-Oct-2024 12 UTC,14342.7,1886
31-Oct-2024 00 UTC,14168.07,1846
30-Oct-2024 12 UTC,14206.5,1876
30-Oct-2024 00 UTC,14448.47,1888
29-Oct-2024 12 UTC,14723.91,1904
29-Oct-2024 00 UTC,14376.44,1896
28-Oct-2024 12 UTC,14261.82,1862
28-Oct-2024 00 UTC,14418.98,1869
27-Oct-2024 12 UTC,14011.18,1767
27-Oct-2024 00 UTC,14337.8,1866
26-Oct-2024 12 UTC,14313.06,1863
26-Oct-2024 00 UTC,14167.09,1872
25-Oct-2024 12 UTC,14729.06,1898
25-Oct-2024 00 UTC,14106.38,1898
24-Oct-2024 12 UTC,14940.8,1926
24-Oct-2024 00 UTC,14284.6,1885
23-Oct-2024 12 UTC,14351.54,1773
23-Oct-2024 00 UTC,14088.78,1777
22-Oct-2024 12 UTC,14220.3,1761
22-Oct-2024 00 UTC,12719.76,1430
21-Oct-2024 12 UTC,14206.57,1709
21-Oct-2024 00 UTC,14154.44,1736
20-Oct-2024 12 UTC,13574.18,1694
20-Oct-2024 00 UTC,13966.94,1694
19-Oct-2024 12 UTC,13244.95,1555
19-Oct-2024 00 UTC,12921.86,1451
18-Oct-2024 12 UTC,13890.45,1764
18-Oct-2024 00 UTC,14521.45,1831
17-Oct-2024 12 UTC,15314.11,1902
17-Oct-2024 00 UTC,15507.96,1913
16-Oct-2024 12 UTC,15518.09,1910
16-Oct-2024 00 UTC,15183.57,1762
15-Oct-2024 12 UTC,14690.15,1673
15-Oct-2024 00 UTC,14394.84,1570
14-Oct-2024 12 UTC,13974.73,1479
14-Oct-2024 00 UTC,13774.65,1378
13-Oct-2024 12 UTC,13314.82,1349
13-Oct-2024 00 UTC,13777.38,1410
12-Oct-2024 12 UTC,12952.06,1358
12-Oct-2024 00 UTC,13653.49,1400
11-Oct-2024 12 UTC,14003.97,1435
11-Oct-2024 00 UTC,14107.08,1432
10-Oct-2024 12 UTC,14069.27,1432
10-Oct-2024 00 UTC,14297.02,1432
09-Oct-2024 12 UTC,13920.97,1396
09-Oct-2024 00 UTC,13849.58,1375
08-Oct-2024 12 UTC,13689.28,1417
08-Oct-2024 00 UTC,21135.02,1600
07-Oct-2024 12 UTC,11926.53,1293
07-Oct-2024 00 UTC,11915.6,1280
06-Oct-2024 12 UTC,11988.44,1257
06-Oct-2024 00 UTC,12132.42,1268
05-Oct-2024 12 UTC,12041.29,1298
05-Oct-2024 00 UTC,12175.47,1294
04-Oct-2024 12 UTC,11887.3,1284
04-Oct-2024 00 UTC,12394.61,1293
03-Oct-2024 12 UTC,13910.66,1411
03-Oct-2024 00 UTC,13957.6,1434
02-Oct-2024 12 UTC,14053.63,1428
02-Oct-2024 00 UTC,13883.68,1407
01-Oct-2024 12 UTC,13907.53,1409
01-Oct-2024 00 UTC,13949.87,1399
30-Sep-2024 12 UTC,14131.76,1404
30-Sep-2024 00 UTC,14012.75,1365
29-Sep-2024 12 UTC,13915.57,1388
29-Sep-2024 00 UTC,13922.46,1375
28-Sep-2024 12 UTC,13943.09,1396
28-Sep-2024 00 UTC,13977.05,1385
27-Sep-2024 12 UTC,13870.87,1404
27-Sep-2024 00 UTC,14057.34,1410
26-Sep-2024 12 UTC,14275.63,1456
26-Sep-2024 00 UTC,14043.95,1398
25-Sep-2024 12 UTC,13934.03,1379
25-Sep-2024 00 UTC,13879.02,1361
24-Sep-2024 12 UTC,13405.24,1332
24-Sep-2024 00 UTC,13777.59,1311
23-Sep-2024 12 UTC,13757.1,1355
23-Sep-2024 00 UTC,13921.85,1329
22-Sep-2024 12 UTC,13034.12,1266
22-Sep-2024 00 UTC,13719.47,1331
21-Sep-2024 12 UTC,13286.4,1300
21-Sep-2024 00 UTC,13485.21,1359
20-Sep-2024 12 UTC,13287.37,1320
20-Sep-2024 00 UTC,13804.54,1450
19-Sep-2024 12 UTC,13917.55,1481
19-Sep-2024 00 UTC,14160.89,1490
18-Sep-2024 12 UTC,13781.54,1467
18-Sep-2024 00 UTC,14141.99,1485
17-Sep-2024 12 UTC,13472.26,1377
17-Sep-2024 00 UTC,13809.52,1396
16-Sep-2024 12 UTC,13831.0,1432
16-Sep-2024 00 UTC,14136.81,1477
15-Sep-2024 12 UTC,14110.21,1493
15-Sep-2024 00 UTC,14443.35,1522
14-Sep-2024 12 UTC,13873.38,1434
14-Sep-2024 00 UTC,14441.41,1460
13-Sep-2024 12 UTC,14222.77,1461
13-Sep-2024 00 UTC,14048.6,1428
12-Sep-2024 12 UTC,13847.01,1430
12-Sep-2024 00 UTC,14270.69,1516
11-Sep-2024 12 UTC,13917.48,1479
11-Sep-2024 00 UTC,14461.09,1523
10-Sep-2024 12 UTC,13417.39,1376
10-Sep-2024 00 UTC,13890.21,1470
09-Sep-2024 12 UTC,13577.01,1479
09-Sep-2024 00 UTC,14992.6,1757
08-Sep-2024 12 UTC,14362.3,1662
08-Sep-2024 00 UTC,14594.67,1735
07-Sep-2024 12 UTC,13937.92,1677
07-Sep-2024 00 UTC,14942.55,1749
06-Sep-2024 12 UTC,14512.4,1730
06-Sep-2024 00 UTC,15086.2,1778
05-Sep-2024 12 UTC,14686.24,1772
05-Sep-2024 00 UTC,15176.93,1829
04-Sep-2024 12 UTC,15526.93,1889
04-Sep-2024 00 UTC,15700.11,1901
03-Sep-2024 12 UTC,15297.35,1862
03-Sep-2024 00 UTC,15146.21,1841
02-Sep-2024 12 UTC,14145.65,1733
02-Sep-2024 00 UTC,15184.5,1787
01-Sep-2024 12 UTC,15202.47,1773
01-Sep-2024 00 UTC,14801.7,1732
31-Aug-2024 12 UTC,14837.63,1783
31-Aug-2024 00 UTC,15420.08,1820
30-Aug-2024 12 UTC,15247.82,1795
30-Aug-2024 00 UTC,15366.73,1815
29-Aug-2024 12 UTC,15392.45,1824
29-Aug-2024 00 UTC,15551.36,1879
28-Aug-2024 12 UTC,15519.93,1899
28-Aug-2024 00 UTC,15182.28,1848
27-Aug-2024 12 UTC,15083.22,1799
27-Aug-2024 00 UTC,15201.11,1785
26-Aug-2024 12 UTC,15049.78,1732
26-Aug-2024 00 UTC,15172.44,1726
25-Aug-2024 12 UTC,15519.59,1759
25-Aug-2024 00 UTC,15524.38,1788
24-Aug-2024 12 UTC,15341.22,1759
24-Aug-2024 00 UTC,15213.81,1748
23-Aug-2024 12 UTC,15528.75,1855
23-Aug-2024 00 UTC,15782.26,1897
22-Aug-2024 12 UTC,15623.27,1882
22-Aug-2024 00 UTC,15307.62,1778
21-Aug-2024 12 UTC,15011.28,1692
21-Aug-2024 00 UTC,15014.5,1694
20-Aug-2024 12 UTC,15332.55,1705
20-Aug-2024 00 UTC,15425.26,1716
19-Aug-2024 12 UTC,15188.94,1714
19-Aug-2024 00 UTC,15071.81,1682
18-Aug-2024 12 UTC,14989.47,1692
18-Aug-2024 00 UTC,19060.28,2105
17-Aug-2024 12 UTC,10131.87,1311
17-Aug-2024 00 UTC,15750.33,1869
16-Aug-2024 12 UTC,14787.41,1727
16-Aug-2024 00 UTC,14921.81,1604
15-Aug-2024 12 UTC,14608.45,1604
15-Aug-2024 00 UTC,15157.69,1677
14-Aug-2024 12 UTC,15515.43,1688
14-Aug-2024 00 UTC,14458.27,1655
13-Aug-2024 12 UTC,15680.77,1755
13-Aug-2024 00 UTC,15528.91,1738
12-Aug-2024 12 UTC,15561.07,1737
12-Aug-2024 00 UTC,15852.43,1785
11-Aug-2024 12 UTC,15499.85,1738
11-Aug-2024 00 UTC,15563.46,1814
10-Aug-2024 12 UTC,15760.89,1826
10-Aug-2024 00 UTC,15513.81,1813
09-Aug-2024 12 UTC,15626.87,1815
09-Aug-2024 00 UTC,15778.07,1778
08-Aug-2024 12 UTC,15372.91,1737
08-Aug-2024 00 UTC,15849.26,1761
07-Aug-2024 12 UTC,15638.82,1777
07-Aug-2024 00 UTC,15408.67,1785
06-Aug-2024 12 UTC,15291.95,1772
06-Aug-2024 00 UTC,15746.73,1827
05-Aug-2024 12 UTC,15477.42,1842
05-Aug-2024 00 UTC,16031.02,1890
04-Aug-2024 12 UTC,15394.06,1812
04-Aug-2024 00 UTC,15943.5,1822
03-Aug-2024 12 UTC,15465.86,1789
03-Aug-2024 00 UTC,15491.06,1807
02-Aug-2024 12 UTC,15233.81,1826
02-Aug-2024 00 UTC,15844.16,1870
01-Aug-2024 12 UTC,15763.09,1887
01-Aug-2024 00 UTC,15880.06,1920
31-Jul-2024 12 UTC,14890.1,1801
31-Jul-2024 00 UTC,15030.06,1793
30-Jul-2024 12 UTC,15350.7,1805
30-Jul-2024 00 UTC,15883.41,1819
29-Jul-2024 12 UTC,15626.89,1812
29-Jul-2024 00 UTC,14765.85,1744
28-Jul-2024 12 UTC,15497.2,1788
28-Jul-2024 00 UTC,15368.08,1754
27-Jul-2024 12 UTC,15232.32,1775
27-Jul-2024 00 UTC,15437.87,1813
26-Jul-2024 12 UTC,15241.17,1811
26-Jul-2024 00 UTC,14848.48,1747
25-Jul-2024 12 UTC,14897.65,1786
25-Jul-2024 00 UTC,15063.22,1812
24-Jul-2024 12 UTC,15513.18,1875
24-Jul-2024 00 UTC,15415.08,1830
23-Jul-2024 12 UTC,15574.9,1855
23-Jul-2024 00 UTC,15614.6,1858
22-Jul-2024 12 UTC,14864.48,1627
22-Jul-2024 00 UTC,14881.34,1577
21-Jul-2024 12 UTC,15127.14,1711
21-Jul-2024 00 UTC,14971.37,1731
20-Jul-2024 12 UTC,15145.79,1769
20-Jul-2024 00 UTC,15556.89,1814
19-Jul-2024 12 UTC,15721.2,1837
19-Jul-2024 00 UTC,15836.07,1891
18-Jul-2024 12 UTC,15630.26,1870
18-Jul-2024 00 UTC,15137.47,1776
17-Jul-2024 12 UTC,15193.91,1849
17-Jul-2024 00 UTC,15398.78,1860
16-Jul-2024 12 UTC,15289.46,1896
15-Jul-2024 00 UTC,15949.34,1929
14-Jul-2024 12 UTC,15716.89,1925
14-Jul-2024 00 UTC,16358.6,1988
13-Jul-2024 12 UTC,15829.25,1930
13-Jul-2024 00 UTC,15515.51,1846
12-Jul-2024 12 UTC,15613.54,1886
12-Jul-2024 00 UTC,16080.42,1860
11-Jul-2024 12 UTC,14847.54,1719
11-Jul-2024 00 UTC,15414.07,1816
10-Jul-2024 12 UTC,15662.16,1846
10-Jul-2024 00 UTC,15285.44,1840
09-Jul-2024 00 UTC,15317.41,1870
08-Jul-2024 12 UTC,15709.28,1896
08-Jul-2024 00 UTC,15989.4,1848
07-Jul-2024 12 UTC,15457.48,1772
07-Jul-2024 00 UTC,16336.69,1879
06-Jul-2024 12 UTC,15477.36,1865
06-Jul-2024 00 UTC,15654.56,1859
05-Jul-2024 12 UTC,15703.62,1868
05-Jul-2024 00 UTC,16594.55,1928
04-Jul-2024 12 UTC,16037.22,1842
04-Jul-2024 00 UTC,16541.69,1889
03-Jul-2024 12 UTC,16460.72,1899
03-Jul-2024 00 UTC,24304.2,2318
02-Jul-2024 12 UTC,0,0
02-Jul-2024 00 UTC,54667.43,5761
01-Jul-2024 12 UTC,0,0
01-Jul-2024 00 UTC,0,0
30-Jun-2024 12 UTC,0,0
30-Jun-2024 00 UTC,0,0
29-Jun-2024 12 UTC,0,0
29-Jun-2024 00 UTC,0,0
28-Jun-2024 12 UTC,16236.95,1871
28-Jun-2024 00 UTC,16190.15,1826
27-Jun-2024 12 UTC,16106.86,1852
27-Jun-2024 00 UTC,16403.67,1908
26-Jun-2024 12 UTC,20066.91,2966
26-Jun-2024 00 UTC,23296.42,3878
25-Jun-2024 12 UTC,23347.79,3956
25-Jun-2024 00 UTC,21737.99,3709
24-Jun-2024 12 UTC,22724.8,3947
24-Jun-2024 00 UTC,23283.21,4020
23-Jun-2024 12 UTC,21284.26,3470
23-Jun-2024 00 UTC,21849.82,3469
22-Jun-2024 12 UTC,18430.67,2543
22-Jun-2024 00 UTC,16294.86,1828
21-Jun-2024 12 UTC,16449.55,1858
21-Jun-2024 00 UTC,19645.22,2827
20-Jun-2024 12 UTC,21815.62,3446
20-Jun-2024 00 UTC,22290.46,3536
19-Jun-2024 12 UTC,21527.07,3470
19-Jun-2024 00 UTC,21139.3,3413
18-Jun-2024 12 UTC,24844.9,3701
18-Jun-2024 00 UTC,25355.95,3496
17-Jun-2024 12 UTC,25619.21,3620
17-Jun-2024 00 UTC,25648.5,3556
16-Jun-2024 12 UTC,25153.05,3481
16-Jun-2024 00 UTC,25241.89,3519
15-Jun-2024 12 UTC,25419.75,3656
15-Jun-2024 00 UTC,26100.21,3874
14-Jun-2024 12 UTC,25851.67,3890
14-Jun-2024 00 UTC,25732.71,3857
13-Jun-2024 12 UTC,25269.33,3759
13-Jun-2024 00 UTC,24773.8,3554
12-Jun-2024 12 UTC,23279.37,3012
12-Jun-2024 00 UTC,22389.7,2815
11-Jun-2024 12 UTC,21584.79,2430
11-Jun-2024 00 UTC,22280.41,2508
10-Jun-2024 12 UTC,29483.01,3043
09-Jun-2024 00 UTC,0,0
08-Jun-2024 12 UTC,0,0
08-Jun-2024 00 UTC,0,0
07-Jun-2024 12 UTC,26847.37,3934
07-Jun-2024 00 UTC,27623.22,3972
06-Jun-2024 12 UTC,28096.86,4086
06-Jun-2024 00 UTC,27862.1,4136
05-Jun-2024 12 UTC,28104.87,4170
05-Jun-2024 00 UTC,28248.9,4244
04-Jun-2024 12 UTC,27139.29,3693
04-Jun-2024 00 UTC,22736.23,2409
03-Jun-2024 12 UTC,28888.94,4330
03-Jun-2024 00 UTC,28341.69,4240
02-Jun-2024 12 UTC,45063.09,5839
01-Jun-2024 12 UTC,26492.6,3659
01-Jun-2024 00 UTC,22715.05,2418
31-May-2024 12 UTC,22566.11,2420
31-May-2024 00 UTC,22599.29,2413
30-May-2024 12 UTC,23686.78,2909
30-May-2024 00 UTC,27674.23,3909
29-May-2024 12 UTC,27569.13,3878
29-May-2024 00 UTC,27465.18,3906
28-May-2024 12 UTC,27516.3,3866
28-May-2024 00 UTC,27205.4,3858
27-May-2024 12 UTC,27026.66,3868
27-May-2024 00 UTC,26990.95,3749
26-May-2024 12 UTC,26208.01,3630
26-May-2024 00 UTC,26994.9,3813
25-May-2024 12 UTC,27772.79,4189
25-May-2024 00 UTC,28318.55,4274
24-May-2024 12 UTC,27849.24,4085
24-May-2024 00 UTC,27218.74,3936
23-May-2024 12 UTC,28406.33,4056
23-May-2024 00 UTC,28728.14,4123
22-May-2024 12 UTC,27528.58,3970
22-May-2024 00 UTC,29811.01,4342
21-May-2024 12 UTC,30356.51,4612
21-May-2024 00 UTC,30698.22,4653
20-May-2024 12 UTC,32499.3,5244
20-May-2024 00 UTC,31290.11,4689
19-May-2024 12 UTC,32116.87,4998
19-May-2024 00 UTC,32436.75,5169
18-May-2024 12 UTC,32761.35,5270
18-May-2024 00 UTC,32452.49,5249
17-May-2024 12 UTC,24370.94,2674
17-May-2024 00 UTC,24103.98,2577
16-May-2024 12 UTC,23910.96,2571
16-May-2024 00 UTC,24004.05,2573
15-May-2024 12 UTC,23439.67,2638
15-May-2024 00 UTC,24407.07,2639
14-May-2024 12 UTC,23884.54,2665
14-May-2024 00 UTC,24025.63,2639
13-May-2024 12 UTC,23192.57,2549
13-May-2024 00 UTC,23915.57,2657
12-May-2024 12 UTC,20991.53,2355
12-May-2024 00 UTC,20687.44,2332
11-May-2024 12 UTC,19539.57,2285
11-May-2024 00 UTC,21001.27,2421
10-May-2024 12 UTC,20051.44,2237
10-May-2024 00 UTC,20930.11,2291
09-May-2024 12 UTC,21357.85,2313
09-May-2024 00 UTC,21897.59,2348
08-May-2024 12 UTC,21729.48,2328
08-May-2024 00 UTC,21995.47,2364
07-May-2024 12 UTC,21467.32,2329
07-May-2024 00 UTC,21986.55,2324
06-May-2024 12 UTC,20720.32,2227
06-May-2024 00 UTC,22091.7,2313
05-May-2024 12 UTC,21823.82,2316
05-May-2024 00 UTC,22242.13,2364
04-May-2024 12 UTC,21422.34,2284
04-May-2024 12 UTC,21422.34,2284
09-Apr-2024 12 UTC,27992.15,4463
09-Apr-2024 00 UTC,27430.48,4438
08-Apr-2024 12 UTC,27573.38,4482
08-Apr-2024 00 UTC,27975.47,4587
07-Apr-2024 12 UTC,27707.92,4556
07-Apr-2024 00 UTC,27915.08,4582
06-Apr-2024 12 UTC,27684.71,4584
06-Apr-2024 00 UTC,28297.6,4681
05-Apr-2024 12 UTC,29145.4,4925
05-Apr-2024 00 UTC,29116.87,4918
04-Apr-2024 12 UTC,29307.14,5070
04-Apr-2024 00 UTC,30177.54,5206
03-Apr-2024 12 UTC,29937.81,5293
03-Apr-2024 00 UTC,30899.55,5406
02-Apr-2024 12 UTC,31291.31,5517
02-Apr-2024 00 UTC,31499.07,5530
01-Apr-2024 12 UTC,30880.55,5437
01-Apr-2024 00 UTC,30508.37,5441
31-Mar-2024 12 UTC,31469.16,5559
31-Mar-2024 00 UTC,32232.67,5763
30-Mar-2024 12 UTC,29664.35,5328
30-Mar-2024 00 UTC,32129.44,5785
29-Mar-2024 12 UTC,31812.94,5357
29-Mar-2024 00 UTC,32417.34,5426
28-Mar-2024 12 UTC,21966.92,2769
28-Mar-2024 00 UTC,21215.89,2334
27-Mar-2024 12 UTC,20015.71,2190
27-Mar-2024 00 UTC,20986.19,2290
26-Mar-2024 12 UTC,20839.86,2324
26-Mar-2024 00 UTC,21069.67,2291
25-Mar-2024 12 UTC,20471.44,2249
25-Mar-2024 00 UTC,23764.02,3120
24-Mar-2024 12 UTC,25574.24,3731
24-Mar-2024 00 UTC,25496.89,3809
23-Mar-2024 12 UTC,24665.82,3726
23-Mar-2024 00 UTC,24715.41,3766
22-Mar-2024 12 UTC,25684.13,3836
22-Mar-2024 00 UTC,26203.82,3920
21-Mar-2024 12 UTC,26342.88,3997
21-Mar-2024 00 UTC,27495.22,4128
20-Mar-2024 12 UTC,27155.01,4165
20-Mar-2024 00 UTC,28066.53,4268
19-Mar-2024 12 UTC,27216.47,4211
19-Mar-2024 00 UTC,27926.0,4313
18-Mar-2024 12 UTC,26885.65,4203
18-Mar-2024 00 UTC,27463.33,4283
17-Mar-2024 12 UTC,27582.47,4338
17-Mar-2024 00 UTC,28558.84,4449
16-Mar-2024 12 UTC,28181.67,4371
16-Mar-2024 00 UTC,29219.33,4569
15-Mar-2024 12 UTC,28445.65,4465
15-Mar-2024 00 UTC,30082.24,4640
14-Mar-2024 12 UTC,29205.16,4586
