username,payout,points,total_payout,total_points,total_wus,created_at
38qisas5xgy7,2.57,4926,2562.37,21745573,464,2022-01-18T20:40:07.22Z
34on4hs3j32d,2.57,4940,213.31,410020,166,2021-10-29T18:06:21.126Z
34pf4ldhb3py,19.94,149665,2476.47,17314937,238,2021-12-10T19:41:56.977Z
38c7yh8vsy11,4.03,8048,2442.54,4424288,605,2021-05-17T10:21:56.630Z
364fcjed0g0q,5.2,31008,3786.8,17236581,1447,2021-05-25T04:29:18.543Z
362r04ufr8qc,6.93,41987,5388.45,28804862,4532,2021-05-04T18:18:33.767Z
33qxik7zpkff,76.2,1522666,4417.72,82905930,269,2022-03-18T06:21:43.25Z
34no6jaa8pjx,38.63,393191,6967.0,79540512,647,2021-12-07T20:14:30.17Z
32i9z3bp086j,2.63,5900,120.45,228480,98,2022-03-11T18:13:55.442Z
33zjmbm1rvuj,4.78,30633,7968.11,59653619,3655,2021-05-04T15:39:22.443Z
32u1mj062wls,26.81,224319,9560.21,75012336,1158,2021-05-01T15:50:17.881Z
32rwp1akg358,51.95,666765,10210.53,216921553,1415,2021-12-19T21:18:55.259Z
33hjaikwxusd,23.37,90000,163288.26,134440997,1721,2019-04-13T04:16:48.157Z
32itgy58brlc,76.38,610454,60998.83,389441779,2238,2021-02-17T17:20:38.303Z
31q03am9789t,43.05,996252,20521.71,791514285,3437,2021-07-20T02:31:13.631Z
328dgq9ktkpy,63.33,566150,27099.95,290886920,1665,2021-05-29T17:06:53.996Z
31d40way2bdw,7.29,44903,311.96,2148292,90,2022-03-06T20:26:38.101Z
31an7vu25a9x,2.69,7400,202.34,592261,241,2022-03-10T04:03:43.385Z
3043dppma8fz,51.63,658687,1108.84,10467379,189,2022-03-07T00:06:15.203Z
30n2rxhid76l,24.17,194220,5679.26,56646383,635,2022-01-20T10:43:02.885Z
31bz4ayq3qgj,53.29,700114,30039.94,483140060,2804,2021-06-01T14:51:49.500Z
30l23dreio6d,2.85,16376,221.1,1114516,149,2022-02-20T11:25:59.571Z
2zazdlt43bx2,44.55,502583,2839.49,31612695,83,2021-06-03T07:41:11.523Z
31anrxustpv9,5.12,30476,12853.79,89530720,1959,2021-04-23T17:05:26.293Z
2ztoxcjhi6uy,1.29,12169,3355.36,26273539,1228,2021-02-23T21:00:41.825Z
2z7bxa9vmvri,7.55,29314,5317.85,21445252,1256,2021-04-22T07:51:50.94Z
2yha71ld5ndy,16.56,117731,2426.88,18510759,572,2021-10-03T01:54:56.379Z
2xaqhya0g7my,12.67,84677,10516.0,123652040,385,2021-05-08T08:44:25.114Z
2y6talqwrqkc,77.11,1569164,464.13,9816009,46,2021-03-17T21:58:05.230Z
2yceoic28qy3,1.67,6060,2106.18,3880509,546,2021-02-11T17:46:32.495Z
2yhnhydmiy3o,36.72,362610,6980.55,85302657,267,2021-06-22T16:33:45.295Z
2wg6p56mllkc,2.66,7320,1998.41,2679734,489,2021-03-10T00:15:58.421Z
2wadfzsyhs00,18.75,138040,9312.48,89240965,1086,2021-05-06T17:56:27.579Z
2xl670n0c2nm,127.52,1386303,32398.96,270703479,2399,2021-02-17T21:58:01.504Z
2vrr0kq85xkk,2.61,3500,2207.58,6421985,352,2021-03-04T01:25:08.644Z
2v8t5n3b52ut,43.34,478253,196.08,1642859,17,2022-04-02T12:08:08.703Z
2v4hw4hcuir7,25.03,203735,563.27,3803721,67,2021-07-21T03:07:27.333Z
2smkhmjqpckq,34.07,321480,1268.55,11764777,63,2022-02-04T08:30:29.214Z
2t2vitzdiz9r,19.16,142043,4791.04,35796782,360,2021-05-21T06:32:30.901Z
2rvhb7opxmyj,24.02,192548,3275.48,35119913,365,2022-01-15T11:29:33.975Z
2ueg72v6q4wu,46.53,542276,23746.71,230824543,1784,2021-03-05T21:44:37.691Z
2s9fbtkvbi1n,71.08,1291040,4492.35,61562772,399,2021-10-01T22:52:47.594Z
2u6jshh3gvh2,40.88,433183,3116.97,26215973,1289,2021-11-02T14:49:42.638Z
2vjraee6dvk5,50.01,619855,16767.43,289017193,1563,2021-11-14T06:40:21.326Z
2udjh6r20szr,3.32,19127,3351.92,14598676,1452,2021-05-07T11:08:41.450Z
2rqbv59thmhm,2.6,4500,15.78,29490,14,2022-04-03T00:06:22.860Z
2pvgoybcbvl3,2.61,3500,126.01,244972,105,2022-03-07T19:11:52.691Z
2qllcka0slkc,2.57,6726,151.62,358202,73,2022-03-02T18:24:07.938Z
2p6a8366btb5,40.36,423720,3719.22,41350991,121,2021-12-10T17:57:44.509Z
2r89byismhdq,22.16,171526,2168.18,18162083,199,2021-12-01T17:44:40.962Z
2q9anj5ya5dt,26.64,222210,4282.25,39563811,510,2021-11-03T07:23:13.335Z
2piuq4l2h4m9,27.33,230850,4598.54,32160800,238,2021-04-24T13:13:01.550Z
2p0k1xhrn7mb,43.42,237263,5022.2,30859075,694,2021-05-03T04:09:53.921Z
2ojr6jqwb1h8,28.1,134280,21232.41,106309911,1578,2021-03-10T07:07:13.56Z
2ome5e927rs6,7.1,43585,1551.76,9786630,1005,2021-11-25T12:28:10.206Z
2kq4x78ksdr5,25.6,210096,2059.82,27313843,97,2022-03-24T03:16:53.909Z
2mhmhyygo07q,10.77,70000,1095.39,7820109,135,2021-11-04T23:06:06.852Z
2msd5nfgn9ou,13.59,91833,3573.38,30974114,1352,2021-10-29T15:12:40.554Z
2mq4whexd6al,45.06,512778,9547.24,109565594,734,2021-11-07T22:42:12.949Z
2o4m7rv1i79b,59.06,860430,13617.77,165760096,1425,2021-05-19T08:19:19.902Z
2nfo6tnk8tyl,2.68,7379,1177.92,2740906,442,2021-06-20T05:06:10.557Z
2km57cawf0v4,22.71,177971,1207.77,9480133,226,2022-01-01T18:01:32.479Z
2km7kwfhbypf,2.62,5302,202.66,483641,96,2021-12-02T21:16:23.492Z
